id,title,people,displayDate,medium,dimensions,invno,primaryMedia,locations,description,copyright,classification,bibliography1
6865,"""A Montrouge""â€“Rosa La Rouge",Henri de Toulouse-Lautrec,1886â€“1887,Oil on canvas,Overall: 28 3/8 x 19 1/8 in. (72.1 x 48.6 cm),BF263,bf263_i5r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 22, North Wall",A redheaded woman in a white shirt stands with her head turned to her left. Thick strands of hair fall over her face.,,Paintings,"Barnes, Albert C. The Art in Painting. Merion, Pa.: The Barnes Foundation Press, 1925, xv, 120 ill.De Mazia, Violette. ""The Decorative Aspect in Art."" The Barnes Foundation Journal of the Art Department 6, no. 1 (Spring 1975): 11, pl. 65.Dolkart, Judith F., Martha Lucy, and Derek Gillman. The Barnes Foundation: Masterworks. New York: Skira Rizzoli, 2012: 296-297, 307, 314.Dortu, M. G. Toulouse-Lautrec et son oeuvre. New York: Collectors Editions, 1971, pl. 305, ill. Jourdain, Francis and Jean AdhÃ©mar. Essai sur Toulouse-Lautrec. Paris: P. TisnÃ©, 1952, 21 ill., 36. Joyant, Maurice. Henri de Toulouse-Lautrec, 1864-1901. Vol 1. Paris: H. Floury, 1926-1927, 68 ill., 98, 264. ---. Henri de Toulouse-Lautrec, 1864-1901. Vol. 2. Paris: H. Floury, 1926-1927, 145. Landolt, Hanspeter. Henri de Toulouse-Lautrec: couleurs et dessins. Hollande: Les Editions Holbein Bale, 1955, 15. Lapparent, Paul de. Toulouse-Lautrec. Paris: Rieder, 1927, 21-47.Lassaigne, Jacques. Lautrec: Biographical and Critical Studies. Vol. 3 of The Taste of Our Time. Geneva: Skira, 1953, 36.Gesko, Judith. CÃ©zanne and the Past: Tradition and Creativity. Museum of Fine Arts, Budapest, 2012.Kinsman, Jane. Toulouse-Lautrec: Paris & the Moulin Rouge. National Gallery of Australia, 2012.Mack, Gerstle. Toulouse-Lautrec. New York: A. A. Knopf, 1938, 78, 293, 304. Mac Orlan, Pierre. Lautrec: peintre de la lumiÃ¨re froide. Paris: Librarie Floury, 1934, 70-8.Perruchot, Henri. La vie de Toulouse Lautrec. Paris: Hachette, 1958, 144-6. Schaub-Koch, Emile. Psychanalyse d'un peintre moderne: Henri de Toulouse Lautrec. Paris: L'Edition Litteraire Internationale, 1935, 177, 186.  Tietze, Hans. Masterpieces of European Paintings in America. New York: Oxford University Press, 1939, pl. 301.Toulouse- Lautrec. RÃ©union des musÃ©es nationaux. Paris, 1991: 192.Wattenmaker, Richard J. and Anne Distel. Great French Paintings from The Barnes Foundation: Impressionist, Post-Impressionist, and Early Modern. New York: Alfred A. Knopf in association with Lincoln University Press, 1993, 178-81, 179 ill."
5748,"6"" Basin",William Will,1763â€“1798,Pewter,Overall: 1 1/2 x 6 1/2 in. (3.8 x 16.5 cm),01.05.31,01-05-31_i1.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 05, South Wall","A 6"" basin with an out-turned rim and an incised circle on the face.",,Vessels,
4806,90Â° Hinge,Unidentified maker,17thâ€“18th century,Iron,Overall: 7 x 7 1/4 x 1/16 in. (17.8 x 18.4 x 0.2 cm),01.08.29,01-08-29_i2r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 08, East Wall",A v-shaped 90Â° hinge with decorative arms containing tulip shapes and finial ends.,,,
4842,90Â° Hinge,Unidentified maker,16th century,Iron,Overall: 8 1/2 x 8 1/2 x 1/16 in. (21.6 x 21.6 x 0.2 cm),01.08.20,01-08-20_i2r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 08, East Wall","A 90Â° hinge from the door of a cupboard, with floral cut-outs at the end of each arm.",,,
6290,A Harem in Africa (Un SÃ©rail en Afrique),Jean Baptiste Guiraud,1884,Oil on canvas,Overall: 28 1/2 x 36 1/2 in. (72.4 x 92.7 cm),BF371,bf371_i6r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 18, East Wall",Dancers wearing exotic clothes and veils.  Four men play the drums and there are four men with tambourines in the foreground.  One man reclines and smokes in the foreground.,,Paintings,"BÃ©nÃ©zit, E. Dictionnaire critique et documentaire des Peintres Sculpteurs Dessinateurs et Graveurs. Vol. 6. Paris: GrÃ¼nd, 1999, 587."
9557,A King Instructing a Crowd,Unidentified artist,mid-14th century,"Tempera, granular gold paint, lead pencil scribe lines and underdrawing and gold on parchment",Overall: 4 1/4 x 1 1/2 in. (10.8 x 3.8 cm),BF1056b,bf1056a&b_i3r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 16, East Wall",One of two clipped miniatures.  A king addresses a crowd.,,Manuscripts,"Barnes, Albert C. and Violette de Mazia. The French Primitives and Their Forms from Their Origin to the End of the Fifteenth Century. Merion, Pa.: The Barnes Foundation Press, 1931, 41 n. 18, 533."
5508,A Necklace of Boats,Violette de Mazia,1949,Oil on wood panel,Overall: 4 1/2 x 8 in. (11.4 x 20.3 cm),BF1195,bf1195_i4r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 11, North Wall",Several sailboats moored in the water.,,Paintings,"De Mazia, Violette. ""Subject and Subject Matter."" Vistas 2, no. 1 (Spring-Summer 1980): 4-5, pl. 63."
7078,A Party Has a Right to Add More Tong to Their Own Joint,William James Glackens,1910,Black crayon on brown wove paper,Overall: 8 5/8 x 5 1/4 in. (21.9 x 13.3 cm),BF665,bf665_i2r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 20, North Wall","A woman with her right arm wrapped around her waist yawns. This is a preparatory sketch for Helen Green's story, ""In Vaudeville.""","Rights held by Katherine Degn, Kraushaar Gallery.See Glackens constituent record for contact information",Drawings,"Green, Helen. ""In Vaudeville."" McClure's Magazine 34, no. 4 (1910): 392."
6604,A Poet on Mule,Wang Wei,Late 19th century,Chinese black ink and watercolor on paper,Overall: 9 1/8 x 12 11/16 in. (23.2 x 32.2 cm),BF390,bf390_i3r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 16, East Wall",A man in a hat rides a mule. Another man follows behind on foot.,,Paintings,"De Mazia, Violette. ""The Case of Glackens vs. Renoir."" The Barnes Foundation Journal of the Art Department 2, no. 2 (Autumn 1971): 26 n, pl. 7.---. ""Transferred Values: Part II."" Vistas 1, no. 1 (Spring-Summer 1979): 13, pl. 9.Pick, Marcelle. ""Life is a Journey for Which We Need More Than 'Bon Voyage.'"" Vistas 3, no. 2 (1987-1988): 5 ill."
5073,A Table Corner (Un coin de table),Paul CÃ©zanne,c. 1895,Oil on canvas,Overall: 18 1/2 x 22 1/8 in. (47 x 56.2 cm),BF711,bf711_i2r.jpg,"Barnes Foundation (Philadelphia), Collection Gallery, Room 09, West Wall","Fruit (apples, peaches, and a pear), a white cloth, and a bowl with a blue rim set on a table.",,Paintings,"Barnes, Albert C. The Art in Painting. Merion, Pa.: The Barnes Foundation Press, 1925, 488, 496-8.Barnes, Albert C. and Violette de Mazia. The Art of Henri-Matisse. New York: C. Scribner's Sons, 1933, 38, cat. data no. 413.---. The Art of CÃ©zanne. New York: Harcourt, Brace and Company, 1939, 30 n, 45, 227 ill., 297 ill. (detail), cat. data no. 172.De Mazia, Violette. ""E Pluribus Unum--Cont'd: Part IV."" The Barnes Foundation Journal of the Art Department 8, no. 2 (Autumn 1977): 7, pl. 116.Dewey, John. Art as Experience. New York: Milton, Balch & Company, 1934, ill. opp. 210.Journal of The Barnes Foundation 1, no. 3 (October 1925): 18, ill.Reff, Theodore. ""CÃ©zanne's 'Cardplayers' and Their Sources."" Arts Magazine 53, no. 10 (June 1979): fig. 35.Rewald, John. The Paintings of Paul CÃ©zanne: A Catalogue RaisonnÃ©. 2 vols. New York: Harry N. Abrams, Inc., 1996, no. 801.Venturi, Lionello. ""Paul CÃ©zanne."" L'Arte (September 1935): fig. 13 (detail).---. CÃ©zanne: son art, son oeuvre. Vol. 1. Paris: P. Rosenberg, 1936, no. 746.Wattenmaker, Richard J. and Anne Distel. Great French Paintings from The Barnes Foundation: Impressionist, Post-Impressionist, and Early Modern. New York: Alfred A. Knopf in association with Lincoln University Press, 1993, 146-147, 147 ill."
