type,object,field,message
unused,6865,depth,"Object description has field depth, but that field was not selected for export"
unused,6865,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,6865,copyright,Object is missing a required field copyright
unused,5748,onview,"Object description has field onview, but that field was not selected for export"
unused,5748,depth,"Object description has field depth, but that field was not selected for export"
missing,5748,copyright,Object is missing a required field copyright
missing,5748,bibliography1,Object is missing a required field bibliography1
unused,4806,onview,"Object description has field onview, but that field was not selected for export"
unused,4806,depth,"Object description has field depth, but that field was not selected for export"
unused,4806,height,"Object description has field height, but that field was not selected for export"
missing,4806,copyright,Object is missing a required field copyright
missing,4806,classification,Object is missing a required field classification
missing,4806,bibliography1,Object is missing a required field bibliography1
unused,4842,onview,"Object description has field onview, but that field was not selected for export"
unused,4842,depth,"Object description has field depth, but that field was not selected for export"
unused,4842,height,"Object description has field height, but that field was not selected for export"
missing,4842,copyright,Object is missing a required field copyright
missing,4842,classification,Object is missing a required field classification
missing,4842,bibliography1,Object is missing a required field bibliography1
unused,6290,depth,"Object description has field depth, but that field was not selected for export"
missing,6290,copyright,Object is missing a required field copyright
unused,9557,depth,"Object description has field depth, but that field was not selected for export"
missing,9557,copyright,Object is missing a required field copyright
unused,5508,onview,"Object description has field onview, but that field was not selected for export"
unused,5508,depth,"Object description has field depth, but that field was not selected for export"
missing,5508,copyright,Object is missing a required field copyright
unused,7078,depth,"Object description has field depth, but that field was not selected for export"
unused,6604,depth,"Object description has field depth, but that field was not selected for export"
missing,6604,copyright,Object is missing a required field copyright
unused,5073,onview,"Object description has field onview, but that field was not selected for export"
unused,5073,depth,"Object description has field depth, but that field was not selected for export"
missing,5073,copyright,Object is missing a required field copyright
unused,5789,onview,"Object description has field onview, but that field was not selected for export"
unused,5789,depth,"Object description has field depth, but that field was not selected for export"
missing,5789,copyright,Object is missing a required field copyright
unused,7995,depth,"Object description has field depth, but that field was not selected for export"
missing,7995,copyright,Object is missing a required field copyright
unused,5878,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5878,depth,"Object description has field depth, but that field was not selected for export"
unused,5878,audioTourEntries,"Object description has field audioTourEntries, but that field was not selected for export"
missing,5878,copyright,Object is missing a required field copyright
unused,5881,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5881,depth,"Object description has field depth, but that field was not selected for export"
missing,5881,copyright,Object is missing a required field copyright
unused,5829,onview,"Object description has field onview, but that field was not selected for export"
unused,5829,depth,"Object description has field depth, but that field was not selected for export"
missing,5829,copyright,Object is missing a required field copyright
unused,6494,creditline,"Object description has field creditline, but that field was not selected for export"
unused,6494,depth,"Object description has field depth, but that field was not selected for export"
missing,6494,copyright,Object is missing a required field copyright
unused,5334,onview,"Object description has field onview, but that field was not selected for export"
unused,5334,depth,"Object description has field depth, but that field was not selected for export"
missing,5334,copyright,Object is missing a required field copyright
unused,5183,depth,"Object description has field depth, but that field was not selected for export"
missing,5183,copyright,Object is missing a required field copyright
unused,7344,creditline,"Object description has field creditline, but that field was not selected for export"
unused,7344,depth,"Object description has field depth, but that field was not selected for export"
missing,7344,copyright,Object is missing a required field copyright
unused,3365,depth,"Object description has field depth, but that field was not selected for export"
missing,3365,copyright,Object is missing a required field copyright
missing,3365,bibliography1,Object is missing a required field bibliography1
unused,6418,depth,"Object description has field depth, but that field was not selected for export"
missing,6418,copyright,Object is missing a required field copyright
missing,6418,bibliography1,Object is missing a required field bibliography1
unused,6272,creditline,"Object description has field creditline, but that field was not selected for export"
unused,6272,depth,"Object description has field depth, but that field was not selected for export"
missing,6272,copyright,Object is missing a required field copyright
unused,6038,depth,"Object description has field depth, but that field was not selected for export"
missing,6038,copyright,Object is missing a required field copyright
unused,5684,onview,"Object description has field onview, but that field was not selected for export"
unused,5684,depth,"Object description has field depth, but that field was not selected for export"
unused,5684,height,"Object description has field height, but that field was not selected for export"
missing,5684,copyright,Object is missing a required field copyright
missing,5684,bibliography1,Object is missing a required field bibliography1
unused,5685,onview,"Object description has field onview, but that field was not selected for export"
unused,5685,depth,"Object description has field depth, but that field was not selected for export"
unused,5685,height,"Object description has field height, but that field was not selected for export"
missing,5685,copyright,Object is missing a required field copyright
missing,5685,bibliography1,Object is missing a required field bibliography1
unused,6289,depth,"Object description has field depth, but that field was not selected for export"
missing,6289,copyright,Object is missing a required field copyright
missing,6289,bibliography1,Object is missing a required field bibliography1
unused,6621,depth,"Object description has field depth, but that field was not selected for export"
unused,6621,height,"Object description has field height, but that field was not selected for export"
missing,6621,copyright,Object is missing a required field copyright
unused,3399,depth,"Object description has field depth, but that field was not selected for export"
missing,3399,copyright,Object is missing a required field copyright
missing,3399,bibliography1,Object is missing a required field bibliography1
unused,5327,onview,"Object description has field onview, but that field was not selected for export"
unused,5327,depth,"Object description has field depth, but that field was not selected for export"
unused,5327,height,"Object description has field height, but that field was not selected for export"
missing,5327,copyright,Object is missing a required field copyright
missing,5327,bibliography1,Object is missing a required field bibliography1
unused,5328,onview,"Object description has field onview, but that field was not selected for export"
unused,5328,depth,"Object description has field depth, but that field was not selected for export"
unused,5328,height,"Object description has field height, but that field was not selected for export"
missing,5328,copyright,Object is missing a required field copyright
missing,5328,bibliography1,Object is missing a required field bibliography1
unused,5469,depth,"Object description has field depth, but that field was not selected for export"
unused,5469,height,"Object description has field height, but that field was not selected for export"
missing,5469,copyright,Object is missing a required field copyright
missing,5469,bibliography1,Object is missing a required field bibliography1
unused,5470,depth,"Object description has field depth, but that field was not selected for export"
unused,5470,height,"Object description has field height, but that field was not selected for export"
missing,5470,copyright,Object is missing a required field copyright
missing,5470,bibliography1,Object is missing a required field bibliography1
unused,5852,depth,"Object description has field depth, but that field was not selected for export"
unused,5852,height,"Object description has field height, but that field was not selected for export"
missing,5852,copyright,Object is missing a required field copyright
unused,5853,depth,"Object description has field depth, but that field was not selected for export"
unused,5853,height,"Object description has field height, but that field was not selected for export"
missing,5853,copyright,Object is missing a required field copyright
unused,5866,depth,"Object description has field depth, but that field was not selected for export"
unused,5866,width,"Object description has field width, but that field was not selected for export"
missing,5866,copyright,Object is missing a required field copyright
missing,5866,bibliography1,Object is missing a required field bibliography1
unused,5867,depth,"Object description has field depth, but that field was not selected for export"
unused,5867,width,"Object description has field width, but that field was not selected for export"
missing,5867,copyright,Object is missing a required field copyright
missing,5867,bibliography1,Object is missing a required field bibliography1
unused,5874,depth,"Object description has field depth, but that field was not selected for export"
unused,5874,height,"Object description has field height, but that field was not selected for export"
missing,5874,copyright,Object is missing a required field copyright
unused,5875,depth,"Object description has field depth, but that field was not selected for export"
unused,5875,height,"Object description has field height, but that field was not selected for export"
missing,5875,copyright,Object is missing a required field copyright
unused,6087,depth,"Object description has field depth, but that field was not selected for export"
unused,6087,height,"Object description has field height, but that field was not selected for export"
missing,6087,copyright,Object is missing a required field copyright
missing,6087,bibliography1,Object is missing a required field bibliography1
unused,6088,depth,"Object description has field depth, but that field was not selected for export"
unused,6088,height,"Object description has field height, but that field was not selected for export"
missing,6088,copyright,Object is missing a required field copyright
missing,6088,bibliography1,Object is missing a required field bibliography1
unused,6332,depth,"Object description has field depth, but that field was not selected for export"
unused,6332,height,"Object description has field height, but that field was not selected for export"
missing,6332,copyright,Object is missing a required field copyright
missing,6332,bibliography1,Object is missing a required field bibliography1
unused,6333,depth,"Object description has field depth, but that field was not selected for export"
unused,6333,height,"Object description has field height, but that field was not selected for export"
missing,6333,copyright,Object is missing a required field copyright
missing,6333,bibliography1,Object is missing a required field bibliography1
unused,6114,depth,"Object description has field depth, but that field was not selected for export"
unused,6114,height,"Object description has field height, but that field was not selected for export"
missing,6114,copyright,Object is missing a required field copyright
missing,6114,bibliography1,Object is missing a required field bibliography1
unused,6115,depth,"Object description has field depth, but that field was not selected for export"
unused,6115,height,"Object description has field height, but that field was not selected for export"
missing,6115,copyright,Object is missing a required field copyright
missing,6115,bibliography1,Object is missing a required field bibliography1
unused,5181,onview,"Object description has field onview, but that field was not selected for export"
unused,5181,depth,"Object description has field depth, but that field was not selected for export"
missing,5181,copyright,Object is missing a required field copyright
unused,5088,onview,"Object description has field onview, but that field was not selected for export"
unused,5088,depth,"Object description has field depth, but that field was not selected for export"
missing,5088,copyright,Object is missing a required field copyright
unused,5060,onview,"Object description has field onview, but that field was not selected for export"
unused,5060,depth,"Object description has field depth, but that field was not selected for export"
missing,5060,copyright,Object is missing a required field copyright
unused,6285,depth,"Object description has field depth, but that field was not selected for export"
missing,6285,copyright,Object is missing a required field copyright
unused,4912,onview,"Object description has field onview, but that field was not selected for export"
unused,4912,depth,"Object description has field depth, but that field was not selected for export"
missing,4912,copyright,Object is missing a required field copyright
unused,6508,creditline,"Object description has field creditline, but that field was not selected for export"
unused,6508,depth,"Object description has field depth, but that field was not selected for export"
unused,6508,width,"Object description has field width, but that field was not selected for export"
unused,6508,height,"Object description has field height, but that field was not selected for export"
missing,6508,copyright,Object is missing a required field copyright
unused,6394,depth,"Object description has field depth, but that field was not selected for export"
unused,6394,height,"Object description has field height, but that field was not selected for export"
missing,6394,copyright,Object is missing a required field copyright
missing,6394,bibliography1,Object is missing a required field bibliography1
unused,5659,depth,"Object description has field depth, but that field was not selected for export"
missing,5659,copyright,Object is missing a required field copyright
unused,6539,depth,"Object description has field depth, but that field was not selected for export"
missing,6539,copyright,Object is missing a required field copyright
missing,6539,bibliography1,Object is missing a required field bibliography1
unused,7918,depth,"Object description has field depth, but that field was not selected for export"
missing,7918,copyright,Object is missing a required field copyright
missing,7918,bibliography1,Object is missing a required field bibliography1
unused,7986,depth,"Object description has field depth, but that field was not selected for export"
unused,7986,height,"Object description has field height, but that field was not selected for export"
missing,7986,copyright,Object is missing a required field copyright
missing,7986,bibliography1,Object is missing a required field bibliography1
unused,8002,depth,"Object description has field depth, but that field was not selected for export"
missing,8002,copyright,Object is missing a required field copyright
missing,8002,bibliography1,Object is missing a required field bibliography1
unused,8007,depth,"Object description has field depth, but that field was not selected for export"
missing,8007,copyright,Object is missing a required field copyright
missing,8007,bibliography1,Object is missing a required field bibliography1
unused,4764,onview,"Object description has field onview, but that field was not selected for export"
unused,4764,depth,"Object description has field depth, but that field was not selected for export"
missing,4764,copyright,Object is missing a required field copyright
unused,5776,onview,"Object description has field onview, but that field was not selected for export"
unused,5776,depth,"Object description has field depth, but that field was not selected for export"
missing,5776,copyright,Object is missing a required field copyright
unused,5202,onview,"Object description has field onview, but that field was not selected for export"
unused,5202,depth,"Object description has field depth, but that field was not selected for export"
missing,5202,copyright,Object is missing a required field copyright
unused,4733,onview,"Object description has field onview, but that field was not selected for export"
unused,4733,depth,"Object description has field depth, but that field was not selected for export"
missing,4733,copyright,Object is missing a required field copyright
unused,4761,depth,"Object description has field depth, but that field was not selected for export"
missing,4761,copyright,Object is missing a required field copyright
unused,5311,depth,"Object description has field depth, but that field was not selected for export"
missing,5311,copyright,Object is missing a required field copyright
unused,5325,depth,"Object description has field depth, but that field was not selected for export"
missing,5325,copyright,Object is missing a required field copyright
unused,4715,depth,"Object description has field depth, but that field was not selected for export"
missing,4715,copyright,Object is missing a required field copyright
unused,6299,depth,"Object description has field depth, but that field was not selected for export"
missing,6299,copyright,Object is missing a required field copyright
missing,6299,bibliography1,Object is missing a required field bibliography1
unused,5139,onview,"Object description has field onview, but that field was not selected for export"
unused,5139,depth,"Object description has field depth, but that field was not selected for export"
missing,5139,copyright,Object is missing a required field copyright
missing,5139,bibliography1,Object is missing a required field bibliography1
unused,6511,depth,"Object description has field depth, but that field was not selected for export"
missing,6511,copyright,Object is missing a required field copyright
missing,6511,bibliography1,Object is missing a required field bibliography1
unused,5497,onview,"Object description has field onview, but that field was not selected for export"
unused,5497,depth,"Object description has field depth, but that field was not selected for export"
missing,5497,copyright,Object is missing a required field copyright
unused,7416,onview,"Object description has field onview, but that field was not selected for export"
unused,7416,depth,"Object description has field depth, but that field was not selected for export"
unused,7416,height,"Object description has field height, but that field was not selected for export"
missing,7416,copyright,Object is missing a required field copyright
missing,7416,classification,Object is missing a required field classification
missing,7416,bibliography1,Object is missing a required field bibliography1
unused,3459,depth,"Object description has field depth, but that field was not selected for export"
unused,7098,creditline,"Object description has field creditline, but that field was not selected for export"
unused,7098,depth,"Object description has field depth, but that field was not selected for export"
missing,7098,copyright,Object is missing a required field copyright
unused,6818,depth,"Object description has field depth, but that field was not selected for export"
missing,6818,copyright,Object is missing a required field copyright
unused,6561,depth,"Object description has field depth, but that field was not selected for export"
missing,6561,copyright,Object is missing a required field copyright
unused,5008,onview,"Object description has field onview, but that field was not selected for export"
unused,5008,depth,"Object description has field depth, but that field was not selected for export"
missing,5008,copyright,Object is missing a required field copyright
unused,5135,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5135,onview,"Object description has field onview, but that field was not selected for export"
unused,5135,depth,"Object description has field depth, but that field was not selected for export"
missing,5135,copyright,Object is missing a required field copyright
unused,5553,creditline,"Object description has field creditline, but that field was not selected for export"
unused,5553,onview,"Object description has field onview, but that field was not selected for export"
unused,5553,depth,"Object description has field depth, but that field was not selected for export"
missing,5553,copyright,Object is missing a required field copyright
unused,5087,depth,"Object description has field depth, but that field was not selected for export"
missing,5087,copyright,Object is missing a required field copyright
unused,6061,depth,"Object description has field depth, but that field was not selected for export"
missing,6061,copyright,Object is missing a required field copyright
unused,5326,depth,"Object description has field depth, but that field was not selected for export"
missing,5326,copyright,Object is missing a required field copyright
unused,4802,onview,"Object description has field onview, but that field was not selected for export"
unused,4802,depth,"Object description has field depth, but that field was not selected for export"
unused,4802,height,"Object description has field height, but that field was not selected for export"
missing,4802,copyright,Object is missing a required field copyright
missing,4802,classification,Object is missing a required field classification
missing,4802,bibliography1,Object is missing a required field bibliography1
unused,6521,creditline,"Object description has field creditline, but that field was not selected for export"
unused,6521,depth,"Object description has field depth, but that field was not selected for export"
missing,6521,copyright,Object is missing a required field copyright
unused,3448,depth,"Object description has field depth, but that field was not selected for export"
missing,3448,copyright,Object is missing a required field copyright
missing,3448,bibliography1,Object is missing a required field bibliography1
unused,6311,depth,"Object description has field depth, but that field was not selected for export"
unused,6311,height,"Object description has field height, but that field was not selected for export"
missing,6311,copyright,Object is missing a required field copyright
missing,6311,bibliography1,Object is missing a required field bibliography1
unused,5250,depth,"Object description has field depth, but that field was not selected for export"
unused,5250,height,"Object description has field height, but that field was not selected for export"
missing,5250,copyright,Object is missing a required field copyright
unused,6574,depth,"Object description has field depth, but that field was not selected for export"
unused,6574,height,"Object description has field height, but that field was not selected for export"
missing,6574,copyright,Object is missing a required field copyright
missing,6574,bibliography1,Object is missing a required field bibliography1
unused,6575,depth,"Object description has field depth, but that field was not selected for export"
unused,6575,height,"Object description has field height, but that field was not selected for export"
missing,6575,copyright,Object is missing a required field copyright
missing,6575,bibliography1,Object is missing a required field bibliography1
unused,6441,depth,"Object description has field depth, but that field was not selected for export"
unused,6441,height,"Object description has field height, but that field was not selected for export"
missing,6441,copyright,Object is missing a required field copyright
missing,6441,bibliography1,Object is missing a required field bibliography1
unused,6469,depth,"Object description has field depth, but that field was not selected for export"
unused,6469,height,"Object description has field height, but that field was not selected for export"
missing,6469,copyright,Object is missing a required field copyright
missing,6469,bibliography1,Object is missing a required field bibliography1
unused,6052,depth,"Object description has field depth, but that field was not selected for export"
missing,6052,copyright,Object is missing a required field copyright
unused,6105,depth,"Object description has field depth, but that field was not selected for export"
missing,6105,copyright,Object is missing a required field copyright
