name,size,modified
BF263.tif,225330.7 kb,"Thu, 02 Oct 2008 18:46:54 GMT"
01.08.29.tif,52680.0 kb,"Thu, 29 Sep 2011 00:29:44 GMT"
01.08.20.tif,96708.2 kb,"Mon, 06 Jun 2011 17:48:01 GMT"
BF371.tif,199448.6 kb,"Tue, 21 Oct 2008 17:59:06 GMT"
BF1056b.tif,121696.6 kb,"Wed, 03 Dec 2008 16:14:34 GMT"
BF1195.tif,213238.0 kb,"Thu, 13 Nov 2008 16:49:10 GMT"
BF665.tif,236657.6 kb,"Tue, 19 Jun 2007 20:33:32 GMT"
BF390.tif,195230.7 kb,"Mon, 06 Oct 2008 19:27:36 GMT"
BF711.tif,177074.6 kb,"Thu, 04 Sep 2008 14:12:06 GMT"
BF978.tif,149033.4 kb,"Wed, 06 Jun 2007 15:02:54 GMT"
BF988.tif,183103.8 kb,"Tue, 05 Jun 2007 20:30:42 GMT"
BF382.tif,715727.6 kb,"Mon, 17 Dec 2007 16:15:52 GMT"
BF883.tif,106946.0 kb,"Mon, 29 Sep 2008 18:44:46 GMT"
BF443.tif,201790.6 kb,"Thu, 18 Sep 2008 17:19:34 GMT"
BF1006.tif,166692.8 kb,"Tue, 21 Oct 2008 18:51:20 GMT"
BF225.tif,208754.8 kb,"Wed, 31 Oct 2007 20:00:06 GMT"
BF142.tif,204388.0 kb,"Tue, 30 Oct 2007 15:44:12 GMT"
BF1092.tif,191438.4 kb,"Mon, 05 Nov 2007 17:31:48 GMT"
BF380.tif,42091.8 kb,"Fri, 10 Dec 2010 16:44:55 GMT"
A129.tif,117249.6 kb,"Wed, 30 May 2012 19:20:51 GMT"
BF960.tif,213560.4 kb,"Tue, 21 Oct 2008 14:45:58 GMT"
BF946.tif,237378.1 kb,"Tue, 29 May 2007 15:43:10 GMT"
BF2538.tif,250553.4 kb,"Wed, 30 May 2007 16:02:48 GMT"
BF277.tif,154397.7 kb,"Mon, 20 Oct 2008 14:26:58 GMT"
